date;datetime;cash_type;coffee_name;amount_final
1/03/2024;2024-03-01 10:15:50.520;card;Latte;38,7
1/03/2024;2024-03-01 12:19:22.539;card;Hot Chocolate;38,7
1/03/2024;2024-03-01 12:20:18.089;card;Hot Chocolate;38,7
1/03/2024;2024-03-01 13:46:33.006;card;Americano;28,9
1/03/2024;2024-03-01 13:48:14.626;card;Latte;38,7
1/03/2024;2024-03-01 15:39:47.726;card;Americano with Milk;33,8
1/03/2024;2024-03-01 16:19:02.756;card;Hot Chocolate;38,7
1/03/2024;2024-03-01 18:39:03.580;card;Americano with Milk;33,8
1/03/2024;2024-03-01 19:22:01.762;card;Cocoa;38,7
1/03/2024;2024-03-01 19:23:15.887;card;Americano with Milk;33,8
1/03/2024;2024-03-01 19:29:17.391;card;Americano with Milk;33,8
2/03/2024;2024-03-02 10:22:06.957;card;Americano;28,9
2/03/2024;2024-03-02 10:30:35.668;cash;Latte;40
2/03/2024;2024-03-02 10:41:41.249;card;Americano with Milk;33,8
2/03/2024;2024-03-02 11:59:45.484;card;Americano with Milk;33,8
2/03/2024;2024-03-02 14:38:35.535;card;Americano;28,9
2/03/2024;2024-03-02 16:37:24.475;card;Americano with Milk;33,8
2/03/2024;2024-03-02 17:34:54.969;card;Americano;28,9
3/03/2024;2024-03-03 10:10:43.981;cash;Latte;40
3/03/2024;2024-03-03 10:27:18.561;card;Latte;38,7
3/03/2024;2024-03-03 11:33:56.118;card;Cortado;28,9
3/03/2024;2024-03-03 12:26:56.098;card;Americano;28,9
3/03/2024;2024-03-03 13:09:36.321;card;Hot Chocolate;38,7
3/03/2024;2024-03-03 17:06:40.271;card;Cocoa;38,7
3/03/2024;2024-03-03 17:08:45.895;card;Cortado;28,9
3/03/2024;2024-03-03 18:03:23.369;card;Americano with Milk;33,8
3/03/2024;2024-03-03 18:04:27.946;card;Americano with Milk;33,8
3/03/2024;2024-03-03 18:08:04.959;card;Hot Chocolate;38,7
4/03/2024;2024-03-04 10:03:51.994;card;Latte;38,7
4/03/2024;2024-03-04 10:54:50.958;card;Latte;38,7
4/03/2024;2024-03-04 11:05:16.184;card;Americano with Milk;33,8
4/03/2024;2024-03-04 14:04:37.734;card;Espresso;24
5/03/2024;2024-03-05 09:59:52.651;card;Latte;38,7
5/03/2024;2024-03-05 14:34:55.963;card;Latte;38,7
5/03/2024;2024-03-05 17:34:06.043;card;Latte;38,7
5/03/2024;2024-03-05 17:35:25.021;card;Hot Chocolate;38,7
5/03/2024;2024-03-05 17:36:28.571;card;Cocoa;38,7
5/03/2024;2024-03-05 17:37:13.659;card;Hot Chocolate;38,7
5/03/2024;2024-03-05 17:38:09.354;card;Hot Chocolate;38,7
5/03/2024;2024-03-05 17:56:15.776;card;Cortado;28,9
5/03/2024;2024-03-05 18:01:31.242;card;Hot Chocolate;38,7
6/03/2024;2024-03-06 12:30:27.089;cash;Americano with Milk;35
